Prof_Course, The instructor clearly defined and explained the course objectives and expectations, The instructor was prepared for each instructional activity, The instructor communicated information effectively, The instructor encouraged me to take an active role in my own learning, The instructor was available to students either electronically or in person
Altomare-Edwin-FINA-4315-002-ADVBUSINESS FINANCIAL ANALYSIS,4.7273,4.7273,4.6818,4.6364,4.7727
Alvarado-Iris-MATH-1303-001-TRIGONOMETRY,4.1875,4.125,3.9375,4,4.25
Amah-Ifeoma-EDAD-5360-011-LEADERSHIP THEORY,4.3237,4.4604,4.3333,4.442,4.3459
Amaro-Jimenez-Carla-BEEP-4384-001-LIT METHODS ESL/BILING CLSRMS,4.6154,4.5769,4.5,4.5769,4.6154
Amaro-Jimenez-Carla-BEEP-4384-004-LIT METHODS ESL/BILING CLSRMS,4.8333,5,4.8333,5,4.9167
Amaya-Miguel-MAE-1105-001-INTRO TO MECH & AERO ENGR,4.6667,4.6667,4.25,4.4167,4.25
Amaya-Miguel-MAE-1105-002-INTRO TO MECH & AERO ENGR,3.3125,3.25,3,3.125,3.375
Amaya-Miguel-MAE-1105-003-INTRO TO MECH & AERO ENGR,4.2727,4.2727,4.0909,3.9091,3.7273
Amaya-Miguel-MAE-1105-004-INTRO TO MECH & AERO ENGR,3.6667,3.8889,3.7778,4,3.7778
Amaya-Miguel-MAE-1105-005-INTRO TO MECH & AERO ENGR,3.7778,3.5556,3.3333,3.5556,3.4444
Amaya-Miguel-MAE-1105-006-INTRO TO MECH & AERO ENGR,3.7778,4,4,4.4444,3.6667
Amaya-Miguel-MAE-3310-002-THERMODYNAMICS I,4.4783,4.6087,4.5652,4.4783,4.619
Ambartsoumian-Gaik-MATH-3319-001-DIFF EQUATIONS/LINEAR ALGEBRA,4.6087,4.6522,4.5652,4.5217,4.6087
Ambartsoumian-Gaik-MATH-5322-001-COMPLEX VARIABLES I,4.6667,4.75,4.4167,4.1667,4.6667
Amy-Daniel-LING-2301-001-STUDY OF HUMAN LANGUAGES,4,4.125,3.375,3.625,4.25
Anderson-Alexandria-MAVS-1000-044-First Year Experience,4,4,3.6,3.6,4.2
Anderson-Cheryl-NURS-5366-001-PRINC OF RESEARCH IN NURSING,4.7,4.9,4.7,4.7,4.8
Anderson-Cheryl-NURS-5366-004-PRINC OF RESEARCH IN NURSING,4.5,5,4.5,5,5
Anderson-Mindi-NURS-5306-001-PEDIATRIC MANAGEMENT ANP,4.3571,4.5,4.4286,4.2857,4.3846
Anderson-Mindi-NURS-5360-400-SIMULATION APPS IN NURSING ED,4.25,4.5,4.5,4.75,5
Andrade-Brandi-THEA-1307-001-ACTING I: BASIC TECHNIQUES,5,5,5,5,4.4
Andrade-Brandi-THEA-1342-002-THEATRE & FILM APPRECIATION,4.6842,4.6579,4.7838,4.5789,4.5405
Andrade-Brandi-THEA-1342-003-THEATRE & FILM APPRECIATION,4.4872,4.4103,4.5897,4.4615,4.3077
Andrade-Brandi-WOMS-3360-001 & THEA-3360-001-GENDER AND THE PERFORMING ARTS,4.3333,4.3333,4.1667,4.5,3.6667
Andrew-Audra-BIOL-1441-057-CELL MOL BIOL,4.5,4.5,4.5,4.5,4.5
Andrew-Audra-BIOL-1441-058-CELL MOL BIOL,4.25,4.25,4.25,4.25,4.25
Andrew-Audra-BIOL-1442-014-STRUC & FUNC OF ORGANISMS,4.3,4.5,4.2222,4.3,4.4
Andrews-Carly-ACCT-2302-003-PRINCIPLES OF ACCOUNTING II,4.35,4.45,4.35,4.3,4.4
Andrews-Carly-ACCT-3311-001-FINANCIAL ACCOUNTING I,4.625,4.6667,4.6667,4.625,4.5833
Andrews-Tamara-NURS-3320-001-HOLISTIC HEALTH ASSESSMENT,4.7,4.8421,4.85,4.85,4.85
Andrews-Tamara-NURS-3320-002-HOLISTIC HEALTH ASSESSMENT,4.7143,4.8095,4.7619,4.7,4.8095
Andrews-Tamara-NURS-3325-503-RN-BSN HOLISTIC CARE OLDER ADU,4.5,4.5323,4.4355,4.4516,4.4194
Andrews-Tamara-NURS-3325-505-RN-BSN HOLISTIC CARE OLDER ADU,4.4138,4.4138,4.4138,4.3684,4.1579
Anees-Sarah-KINE-1400-012-INTRO TO EXERCISE SCIENCE,4.3333,4.6667,4.3333,4.6667,4.3333
Anees-Sarah-KINE-1400-015-INTRO TO EXERCISE SCIENCE,4.6667,4.6667,4.3333,4.6667,4.6667
Anees-Sarah-KINE-1400-016-INTRO TO EXERCISE SCIENCE,5,5,5,5,5
Anees-Sarah-KINE-1400-019-INTRO TO EXERCISE SCIENCE,3.8,4.2,3.4,3.6,3.8
Anjomani-Ardeshir-UPPP-6311-001-URBAN SPATIAL THEO & STRUCTURE,3.9286,4.1429,4,4.5714,4.5
Appleton-Susan-INTD-3321-001-INTERIOR MATERIALS I,4.25,4.5,4,4.25,3.75
Appleton-Susan-INTD-4562-001-DESIGN STUDIO INT. DESIGN III,3.6,3.2,3.2,4,4.2
Arana-Allyson-PSYC-2443-002-RESEARCH DESIGN & STATISTICS I,5,5,5,4.875,5
Aranda-Xavier-BIOL-4352-001-FORENSIC BIOLOGY,4.6875,4.5625,4.5,4.6875,4.75
Aranda-Xavier-BIOL-4355-001-METHODS IN FORENSIC BIOLOGY,4,4,3.6667,4,4
Aranda-Xavier-BIOL-4355-002-METHODS IN FORENSIC BIOLOGY,4.1429,3.8571,3.8571,4.2857,4.2857
Arce-William-ENGL-3343-001-US CHICANO/LATINO LIT,3.4286,3.1429,3,4.1429,3.8571
Arce-William-MAS-2300-001-INTRO MEX AM ST,4,3.625,3.375,4.25,4
Archibald-Daniel-THEA-0181-002-THEATRE PRACTICUM,4.5,4.6,4.5,4.6,4.6
Archibald-Daniel-THEA-1304-001-STAGECRAFT I,4.8889,4.7778,4.8889,5,4.8889
Archibald-Daniel-THEA-1304-101-STAGECRAFT I,4.8889,4.7778,4.8889,5,4.8889
Ardekani-Siamak-CE-3302-001-TRANSPORTATION ENGINEERING,4.56,4.8,4.64,4.48,4.5833
Ardekani-Siamak-CE-6309-002/003-TRAFFIC FLOW THEORY,3.8462,4,3.75,3.5385,3.6923
Arditi-David-INTS-1310-001-INTRO TO POPULAR POP CULTURE,4.1538,4.1538,3.9231,4,4.3077
Arditi-David-INTS-3320-001-SOCIAL JUSTICE THEORY,4.2222,4.4444,3.8333,4.3333,4.3333
Arellano-Miguel-MATH-1301-004-CONTEMPORARY MATH,4.087,3.9565,3.6957,3.8696,3.8696
Arellano-Miguel-MATH-1302-350-COLLEGE ALGEBRA,3.1613,3.1613,2.9677,3.2903,3.1935
Arellano-Miguel-MATH-1302-351-COLLEGE ALGEBRA,3.2903,3.3226,3.1935,3.5,3.1935
Armanios-Erian-MAE-2312-001-SOLID MECHANICS,4.25,4.5,4.25,4.875,4.5
Arnold-Patricia-SPAN-1441-026-BEGINNING SPANISH I,4,4.1429,3.4286,3.8571,3.4286
Arnold-Patricia-SPAN-1441-027-BEGINNING SPANISH I,4,4,4.25,3.5,3.5
Arnold-Patricia-SPAN-1442-014-BEGINNING SPANISH II,4.3333,4.6667,4.6667,4.6667,5
Arnold-Patricia-SPAN-1442-015-BEGINNING SPANISH II,3.5,3,3.1667,3,3.5
Arnold-Patricia-SPAN-2313-012-INTERMEDIATE SPANISH I,4.75,4.75,4.75,4.75,4.75
Aroul-Ramya-REAE-3325-003-REAL ESTATE FUNDAMENTALS,4.2222,3.8889,4,4,3.9444
Aroul-Ramya-REAE-5311-001-REAL ESTATE ANALYSIS,5,5,5,5,4.5
Arrowood-Dana-EDTC-4301-002-TECHNOLOGY APPLICATIONS,4.4545,4.5455,4.0909,4.6364,4.7273
Arrowood-Dana-EDTC-4301-003-TECHNOLOGY APPLICATIONS,3.6842,3.6842,3.7368,3.8421,4.1579
Arrowood-Dana-LIST-5345-001-CONTENT AREA READNG & WRTNG,4,4.2,3.8,4.4,4
Arrowood-Dana-LIST-5350-005-LITERACY ASSESSMENT,4.3636,4.3636,4.2462,4.3333,4.4
Arterburn-Heather-BIOL-1441-032-CELL MOL BIOL,3.5556,3.75,3.6667,3.8889,4
Arterburn-Heather-BIOL-1441-040-CELL MOL BIOL,3.5556,3.8889,3.5556,4,4
Arvidson-Enid-CIRP-5310-001-PLANNING URBAN DEV & STRUCTUR,4.0476,4.0476,3.95,4.1429,4.0952
Arvidson-Enid-URPA-6301-001 & CIRP-6301-001-THEOR FNDTNS & PHD WORKSHOP,3.9286,3.6429,3.5,4.0769,4.6429
Asgari-Parham-CHEM-2181-001/002-ORGANIC CHEMISTRY I LAB,4.3571,4.6429,4.4286,4.2593,4.1786
Asgari-Parham-CHEM-2182-005-ORGANIC CHEMISTRY II LAB,4.1538,4.3077,4.2308,4.1538,4.2308
Ashmead-Ann-SOCW-2313-002-SW PRACTICE I,4.2727,4.2273,3.7273,4.0909,4.0909
Ashmead-Ann-SOCW-6325-009-ADVANCED MICRO PRACTICE,3.3333,3.3333,3.1667,4.0833,3.5833
Ashour-Samar-REAE-3325-001-REAL ESTATE FUNDAMENTALS,3.973,4.027,3.5946,4.1622,4.2703
Atchison-Richard-ARCH-4356-001-ARCH-5356-001-BASIC AUTOCAD-Basic AutoCAD,5,5,4.75,5,4.75
Atmeh-Ghassan-MAE-3242-001-MECHANICAL DESIGN I,3.5,4.2308,3.5,3.4615,3.9286
Atta-Fynn-Raymond-PHYS-1442-001-GENERAL COLLEGE PHYSICS II,4.04,3.4,3.92,4.12,3.96
Atta-Fynn-Raymond-PHYS-4315-001-THERMODYAMICS & STAT MECHANICS,2.875,2.625,2.75,3.75,3.75
Austin-Amy-SPAN-2315-003-INTERM SPAN HERITAGE SPEAKERS,5,5,4.75,5,5
Austin-Amy-SPAN-3303-002-ADVANCED SPANISH CONVERSATION,5,4.6364,4.8182,5,4.7273
Austin-Amy-SPAN-5310-001-SPAN LIT TO 18C,4.1818,4.0909,4.1818,4.4545,4.5
Avullala-Thirupataiah-CHEM-2181-003/004-ORGANIC CHEMISTRY I LAB,4.4444,4.5556,4.5,4.3889,4.5
Avullala-Thirupataiah-CHEM-2181-007/008-ORGANIC CHEMISTRY I LAB,4.6,4.8667,4.4667,4.6667,4.8
Ayres-Amy-MAVS-1000-046-First Year Experience,4,3.75,4,3.9375,3.9375
Azzawi-Raad-CE-1252-001-COMPUTER TOOLS - AUTOCAD,4.4286,4.3571,4.2857,4.3571,4.2963
Azzawi-Raad-CE-1252-002-COMPUTER TOOLS - AUTOCAD,4.1739,4.1304,4,4.0909,4.2174
Azzawi-Raad-CE-1252-003-COMPUTER TOOLS - AUTOCAD,4.3333,4.5,4.5,4.6667,4.6667
Azzawi-Raad-CE-2311-001-STATICS,4.9429,4.9143,4.7647,4.8,4.7143
Azzawi-Raad-CE-2311-002-STATICS,4.8824,4.9118,4.7941,4.7879,4.7941
Azzawi-Raad-CE-2313-001-MECHANICS OF MATERIALS I,4.7,4.7,4.525,4.65,4.625
B.C.-Pankaj-BIOL-1441-053-CELL MOL BIOL,3.2,2.9,2.4,3.3,3.2
B.C.-Pankaj-BIOL-1441-056-CELL MOL BIOL,2.8,3.8,2.8,3.25,3.2
Babcock-Meghan-PSYC-2444-002-RESEARCH DESIGN & STATS II,4.875,5,4.875,4.875,4.875
Babiracki-Patryk-HIST-3300-003-INTRO TO HISTORICAL RESEARCH,4,4,4,5,4
Babiracki-Patryk-HIST-4361-011-THE RUSSIAN EMPIRE 1552-1917,4,4.3333,4,4.2222,4.3333
Bacchus-Donna-FS-NURS-1300-003-INTRO TO PROFESSIONAL NURSING,4.375,4.4375,4.375,4.1875,4.3125
Bacchus-Donna-FS-NURS-1300-004-INTRO TO PROFESSIONAL NURSING,4.6364,4.5455,4.3636,4.2727,4.5455
Bacchus-Donna-FS-NURS-1300-011-INTRO TO PROFESSIONAL NURSING,3.6087,4.1739,3.3913,3.8261,3.913
Bacchus-Donna-FS-NURS-1300-015-INTRO TO PROFESSIONAL NURSING,4.1429,4.2381,4,3.9524,4.0952
Backs-Karl-MATH-1301-003-CONTEMPORARY MATH,4.0909,4.4545,4.2727,4.0909,4.0909
Backs-Karl-MATH-1301-008-CONTEMPORARY MATH,4.125,4.375,4.1667,3.8333,4.0833
Backs-Karl-MATH-2326-003-CALCULUS III,4.5667,4.8,4.6207,4.3,4.3103
Backs-Karl-MATH-2425-100-CALCULUS II,4,4.5714,4,3.7143,3.7143
Badon-Michelle-BIOL-2460-001-NURSING MICROBIOLOGY,3.5682,3.7955,2.8182,3.4773,3.8837
Badon-Michelle-BIOL-2460-500-NURSING MICROBIOLOGY,4.6364,4.5455,4.3182,4.5909,4.2727
Badon-Michelle-BIOL-2460-501-NURSING MICROBIOLOGY,4.5263,4.4211,4.2632,4.4737,4.2632
Badon-Michelle-BIOL-2460-700-NURSING MICROBIOLOGY,4.0625,3.9375,3.5333,4.0625,3.875
Badon-Michelle-BIOL-2460-701-NURSING MICROBIOLOGY,4.2143,4.2143,4.1538,4.2143,3.9286
Baeva-Tatiana-ENGL-3301-001 & RUSS-3301-001-RUSSIAN LIT IN TRANSLATION,4,4.1667,3.3333,4.5,3.3333
Baeva-Tatiana-POLS-4361-001 & RUSS-4361-001-POL ENV RUSSIA,4.6667,5,5,4.6667,5
Baeva-Tatiana-RUSS-3304-001-TOPICS IN RUSSIAN LANG STUDY,5,5,5,5,5
Bagby-Daniel-MILS-2251-001-INDIV LDRSHIP,5,5,5,5,5
Baghdady-Yehia Zakaria Mahmoud Youssef-CHEM-1465-113-CHEMISTRY FOR ENGINEERS,4.2353,4.5294,3.3529,3.7647,4
Baghdady-Yehia Zakaria Mahmoud Youssef-CHEM-1465-114-CHEMISTRY FOR ENGINEERS,4.5833,4.75,4.3636,4.25,4.5
Bai-Ling-CHEM-4461-102-INSTRUMENTAL ANALYSIS & CHEM-5461-102-ANALYTICAL INSTRUMENTATION,3.25,3.75,3.25,3.75,4
Bain-Anne-SOCW-3317-003-HUMAN BEHAVIOR AND DIVERSE POP,4.8667,4.6,4.8,4.9333,4.8667
Bain-Anne-SOCW-5317-003/004-HUMAN BEHAVIOR & DIVERSE POPS,4.7333,4.7333,4.7143,4.7333,4.6429
Baker-Harvy-MATH-1303-004-TRIGONOMETRY,2.8125,3.1875,2.4667,3.0625,3.1875
Baker-Harvy-MATH-1316-002-MATH ECON & BUS ANLYS,2.8947,3.1579,2.3158,3.2632,3.0526
Baker-Harvy-MATH-2326-002-CALCULUS III,3.2813,3.4516,2.2813,3.7813,3.4063
Baker-Harvy-MATH-3314-001-DISCRETE MATHEMATICS,4,4.3333,4,4.5,4
Baker-Joy-NURS-5308-001-NURSING INFORMATICS,4.4286,4.2857,3.5714,4.7143,4.5714
Baker-Joy-NURS-5382-400-NURSING AND HEALTH CARE POLICY,3.8,4.25,3.65,4.25,3.9
Baker-Joy-NURS-5382-401-NURSING AND HEALTH CARE POLICY,3.7895,4.1579,3.7368,4.4211,4.2105
Baker-Revenor-BSTAT-3321-007-BUSINESS STATISTICS I,3.8462,4.3846,3.8462,4.1538,4.6154
Baker-Revenor-OPMA-5321-001 & OPMA-4303-001-INTRO TO MANAGEMENT SCIENCES,2.75,3.25,2.75,4.125,3.5
Bakker-Trevor-CSE-3320-002-OPERATING SYSTEMS,4.5625,4.75,4.4375,4.375,4.5625
Baldwin-Janice-MANA-3318-001-MANA ORG BEHAV,4.0625,4.1875,4,4,4
Baldwin-Janice-MANA-3318-008-MANA ORG BEHAV,3.4286,4,3.4286,2.7143,3.4286
Baldwin-Janice-MANA-3318-014-MANA ORG BEHAV,4.3,4.05,4.15,4,3.6316
Baldwin-Janice-MANA-3320-003-PER/HUM RES MGT,5,4.6667,5,4.6667,5
Banda-Shanna-MATH-1302-100-COLLEGE ALGEBRA,4.3333,4.6061,4.2727,4.2424,4.625
Banda-Shanna-MATH-1302-101-COLLEGE ALGEBRA,4.0833,4.125,4,3.9583,4.5
Banda-Shanna-MATH-1308-100-ELEM STATISTICAL ANALYSIS,4.3636,4.5152,4.3939,4.3125,4.4688
Banda-Shanna-MATH-1308-101-ELEM STATISTICAL ANALYSIS,4.4074,4.5556,4.4444,4.4815,4.4074
Baptist-Georgetta-HCAD-5392-050-SPCL TOPICS,5,5,5,5,5
Baptist-Georgetta-HCAD-5399-050-GRAD HEALTH CARE ADMN INTERNSH,4.5,4.5,4.5,5,5
Barasch-Linda-CSE-1104-001-INTRODUCTION TO ENGINEERING,3.9444,4.2778,3.5556,3.6667,3.7778
Barasch-Linda-CSE-1104-002-INTRODUCTION TO ENGINEERING,4.2963,4.2593,4.1481,4.0741,4.037
Barasch-Linda-CSE-1104-003-INTRODUCTION TO ENGINEERING,3.3077,3.6923,2.9231,3,3.0769
Barasch-Linda-CSE-3315-001-THEORETICAL CONCEPTS CSE,3.75,4.375,3.875,3.8125,3.75
Bardet-Jean-Pierre-CE-3343-001-SOIL MECHANICS,3.6111,3.7778,2.3529,3.3333,3.5
Barfield-Jeremy-MAVS-1000-015-First Year Experience,4.5,4.5333,4.5,4.3125,4.3333
Barhate-Chandan-CHEM-1442-101-GENERAL CHEMISTRY II,4.5294,4.7647,4.5882,4.3529,4.6471
Barhate-Chandan-CHEM-1442-111-GENERAL CHEMISTRY II,4.1,4.4,4.2,4.1,4.1
Barman-Sajib-PHYS-3445-002-OPTICS,4.5,4.5,4.5,4.5,4.5
Barman-Sajib-PHYS-3445-003-OPTICS,4,4.1429,4.2857,4.4286,4.5714
Barman-Sajib-PHYS-3445-004-OPTICS,3.6667,3.6667,4,4.6667,4.6667
Barnett-Jesse-ART-4360-001-COLOR PHOTOGRAPHY,4.75,4.75,4.75,5,5
Barnett-Tracey-SOCW-5301-005-HUMAN BEHAV & SOCIAL ENV I,4.375,4.375,3.875,3.75,4.125
Barr-Wendy-NURS-5329-400-ROLE OF THE NURSE EDUCATOR,4.75,4.625,4.25,4.5,4.625
